anchor_ticker,asset_class,asset_class_label,selection_source,selection_reason,fallback_rule,universe_position,universe_ticker,included_in_aligned_universe,aligned_rows
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",1,AAPL,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",2,MSFT,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",3,INTC,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",4,CSCO,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",5,JPM,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",6,XOM,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",7,JNJ,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",8,PG,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",9,WMT,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",10,KO,True,4748
SNAP,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",11,HD,True,4748
