anchor_ticker,asset_class,asset_class_label,selection_source,selection_reason,fallback_rule,universe_position,universe_ticker,included_in_aligned_universe,aligned_rows
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",1,SPY,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",2,QQQ,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",3,DIA,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",4,IWM,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",5,MDY,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",6,XLK,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",7,XLF,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",8,XLV,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",9,XLY,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",10,XLP,True,6047
XLU,us_equity_etf,US equity ETF,asset_class_default,Using the US equity ETF peer universe so relative-strength ranking stays within a sensible asset class.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",11,XLU,True,6047
