anchor_ticker,asset_class,asset_class_label,selection_source,selection_reason,fallback_rule,universe_position,universe_ticker,included_in_aligned_universe,aligned_rows
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",1,MSFT,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",2,INTC,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",3,CSCO,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",4,JPM,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",5,XOM,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",6,JNJ,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",7,PG,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",8,WMT,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",9,KO,True,8778
AAPL,us_equity_stock,US equity stock,asset_class_default,Using the US equity stock peer universe so relative-strength ranking stays within a sensible asset class. The anchor ticker is excluded by default to avoid self-referential ranking and to keep cross-anchor validations more independent.,"If a ticker does not match crypto, forex, futures, or known ETF/commodity lists, treat it as a US equity stock by default.",10,HD,True,8778
