candidate_id,candidate_name,source_key,citation,url
existing_trend_pullback,Existing Strategy: Trend + Pullback,trend_century_hurst_2017,"Hurst, Ooi, Pedersen (2017), A Century of Evidence on Trend-Following Investing, Journal of Portfolio Management.",https://www.aqr.com/insights/research/journal-article/a-century-of-evidence-on-trend-following-investing
existing_breakout_volume_momentum,Existing Strategy: Breakout + Volume + Momentum,technical_rules_brock_1992,"Brock, Lakonishok, LeBaron (1992), Simple Technical Trading Rules and the Stochastic Properties of Stock Returns, Journal of Finance.",https://www.jstor.org/stable/i340162
existing_mean_reversion_vol_filter,Existing Strategy: Mean Reversion + Volatility Filter,data_snooping_sullivan_1999,"Sullivan, Timmermann, White (1999), Data-Snooping, Technical Trading Rule Performance, and the Bootstrap, Journal of Finance.",https://ideas.repec.org/a/bla/jfinan/v54y1999i5p1647-1691.html
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),tsmom_moskowitz_2012,"Moskowitz, Ooi, Pedersen (2012), Time Series Momentum, Journal of Financial Economics.",https://doi.org/10.1016/j.jfineco.2011.11.003
cand_cross_asset_monthly_momentum_63,Cross-Asset Monthly Momentum (63/126),momentum_jegadeesh_titman_1993,"Jegadeesh, Titman (1993), Returns to Buying Winners and Selling Losers, Journal of Finance.",https://www.bauer.uh.edu/rsusmel/phd/jegadeesh-titman93.pdf
